河川名,水系,クラス,開発局,都道府県,河川コード
天塩川,天塩川,一級,北海道開発局,,8101010001
ロクシナイ川,天塩川,一級,北海道開発局,,8101010002
トーウツナイ川,天塩川,一級,北海道開発局,,8101010003
サロベツ川,天塩川,一級,北海道開発局,,8101010004
オンネベツ川,天塩川,一級,北海道開発局,,8101010005
東オンネベツ川,天塩川,一級,北海道開発局,,8101010006
パンケオンネベツ川,天塩川,一級,北海道開発局,,8101010007
下エベコロベツ川,天塩川,一級,北海道開発局,,8101010008
福永川,天塩川,一級,北海道開発局,,8101010009
ペンケエベコロベツ川,天塩川,一級,北海道開発局,,8101010010
豊幌川,天塩川,一級,北海道開発局,,8101010011
清明川,天塩川,一級,北海道開発局,,8101010012
目梨別九線川,天塩川,一級,北海道開発局,,8101010013
原子の沢川,天塩川,一級,北海道開発局,,8101010014
中央ウブシ川,天塩川,一級,北海道開発局,,8101010015
北ウブシ川,天塩川,一級,北海道開発局,,8101010016
パンケウブシ川,天塩川,一級,北海道開発局,,8101010017
ペンケウブシ川,天塩川,一級,北海道開発局,,8101010018
宮園川,天塩川,一級,北海道開発局,,8101010019
パンケオポッペ川,天塩川,一級,北海道開発局,,8101010020
ペンケオポッペ川,天塩川,一級,北海道開発局,,8101010021
ペンケオートマップ川,天塩川,一級,北海道開発局,,8101010022
パンケオートマップ川,天塩川,一級,北海道開発局,,8101010023
円山ウブシ川,天塩川,一級,北海道開発局,,8101010024
東六線川,天塩川,一級,北海道開発局,,8101010025
円山赤川,天塩川,一級,北海道開発局,,8101010026
雄信内川,天塩川,一級,北海道開発局,,8101010027
七線沢川,天塩川,一級,北海道開発局,,8101010028
二十三号川,天塩川,一級,北海道開発局,,8101010029
三十号川,天塩川,一級,北海道開発局,,8101010030
南雄信内川,天塩川,一級,北海道開発局,,8101010031
問寒別川,天塩川,一級,北海道開発局,,8101010032
ヌカナン川,天塩川,一級,北海道開発局,,8101010033
ヌプカナイ川,天塩川,一級,北海道開発局,,8101010034
ヌポロマポロ川,天塩川,一級,北海道開発局,,8101010035
和田ノ沢川,天塩川,一級,北海道開発局,,8101010036
問寒二号川,天塩川,一級,北海道開発局,,8101010037
一線川,天塩川,一級,北海道開発局,,8101010038
ケナシポロ川,天塩川,一級,北海道開発局,,8101010039
パンケルペシュペ川,天塩川,一級,北海道開発局,,8101010040
ペンケルペシュぺ川,天塩川,一級,北海道開発局,,8101010041
十四線川,天塩川,一級,北海道開発局,,8101010042
十六線川,天塩川,一級,北海道開発局,,8101010043
アイカップ川,天塩川,一級,北海道開発局,,8101010044
コクネップ川,天塩川,一級,北海道開発局,,8101010045
宇戸内川,天塩川,一級,北海道開発局,,8101010046
パンケナイ川,天塩川,一級,北海道開発局,,8101010047
ペンケナイ川,天塩川,一級,北海道開発局,,8101010048
銅蘭川,天塩川,一級,北海道開発局,,8101010049
トヨマナイ川,天塩川,一級,北海道開発局,,8101010050
琴平川,天塩川,一級,北海道開発局,,8101010051
